Destination,Sights & Landmarks,Museums,Tours & Activities,Nature & Parks,Amusement Parks,Nightlife,Outdoor Activities,Shopping,Fun & Games,Theatre & Concerts,Boat Tours & Water Sports,Food & Drink,Spas & Wellness,Casinos & Gambling,Transportation,Classes & Workshops,Traveller Resources,Zoos & Aquariums,Events,Sights & Landmarks Rank,Museums Rank,Tours & Activities Rank,Nature & Parks Rank,Amusement Parks Rank,Nightlife Rank,Outdoor Activities Rank,Shopping Rank,Fun & Games Rank,Theatre & Concerts Rank,Boat Tours & Water Sports Rank,Food & Drink Rank,Spas & Wellness Rank,Casinos & Gambling Rank,Transportation Rank,Classes & Workshops Rank,Traveller Resources Rank,Zoos & Aquariums Rank,Events Rank
York,81,30,51,19,6,51,22,45,14,5,2,8,17,1,2,6,4,0,0,13,3,7,12,19,,14,2,30,10,8,4,13,12,6,8,20,14,5
Newcastle,30,22,20,14,0,133,15,40,30,13,2,8,14,4,1,4,8,1,0,28,27,27,30,1,10,31,23,5,5,33,15,21,3,9,16,14,4,5
Leeds,48,15,11,20,0,157,25,38,29,13,2,7,21,1,0,6,2,0,0,16,5,10,15,6,9,6,4,14,6,4,15,2,7,9,3,14,6,5
Hull,10,15,3,9,0,51,5,9,13,6,0,3,4,1,1,2,1,1,0,6,6,6,5,14,5,3,11,4,2,8,2,11,22,9,2,5,2,2
Derby,14,11,5,4,0,59,12,3,12,3,0,7,1,0,0,2,2,0,0,3,17,9,6,19,17,19,16,18,18,14,7,16,22,9,20,8,14,5
Skegness,5,2,3,10,2,12,8,1,13,1,1,3,0,1,1,0,0,3,0,12,20,18,14,19,14,23,3,25,28,14,19,13,22,22,11,34,6,5
Loughborough,2,2,2,6,0,11,4,1,9,2,1,2,0,0,0,3,0,0,0,11,7,8,6,10,12,8,12,9,10,6,4,6,22,4,11,5,14,5
Nottingham,29,16,21,18,0,132,28,28,49,13,5,8,15,7,1,2,1,0,0,21,23,20,15,19,24,23,17,18,20,22,19,10,9,22,20,14,6,5
Brighton,29,28,34,14,3,124,28,48,18,15,14,5,32,3,2,10,2,1,0,21,19,27,36,19,15,26,35,23,23,33,12,29,22,22,20,14,14,5
Cambridge,75,14,36,20,0,54,19,22,13,6,5,8,6,0,2,2,4,0,0,39,36,40,39,19,38,36,32,38,33,33,36,34,22,22,33,34,14,5
Canterbury,35,10,15,17,0,66,13,51,9,2,5,3,8,0,0,4,0,1,0,21,24,27,25,19,23,32,36,36,37,22,30,24,22,6,20,34,14,5
Dover,14,6,5,10,0,41,5,2,3,0,2,1,3,0,3,2,0,0,0,18,24,18,30,6,22,20,20,14,16,19,7,16,12,22,8,14,14,5
Norwich,39,22,23,31,1,76,26,28,22,11,11,2,9,0,1,1,4,0,0,31,28,13,18,19,27,5,24,28,22,3,26,25,22,9,8,20,6,5
London,550,294,549,136,3,1265,148,601,262,312,49,134,234,17,90,105,31,6,4,31,32,33,33,19,40,38,32,38,37,33,30,34,22,22,33,20,14,5
Oxford,73,16,46,19,0,59,20,31,19,7,5,9,6,0,5,2,5,0,0,26,14,33,28,19,19,32,24,18,18,33,19,21,12,15,20,20,6,5
