Destination,Sights & Landmarks,Museums,Tours & Activities,Nature & Parks,Amusement Parks,Nightlife,Outdoor Activities,Shopping,Fun & Games,Theatre & Concerts,Boat Tours & Water Sports,Food & Drink,Spas & Wellness,Casinos & Gambling,Transportation,Classes & Workshops,Traveller Resources,Zoos & Aquariums,Events
York,81,30,51,19,6,51,22,45,14,5,2,8,17,1,2,6,4,0,0
Newcastle,30,22,20,14,0,133,15,40,30,13,2,8,14,4,1,4,8,1,0
Leeds,48,15,11,20,0,157,25,38,29,13,2,7,21,1,0,6,2,0,0
Hull,10,15,3,9,0,51,5,9,13,6,0,3,4,1,1,2,1,1,0
Derby,14,11,5,4,0,59,12,3,12,3,0,7,1,0,0,2,2,0,0
Skegness,5,2,3,10,2,12,8,1,13,1,1,3,0,1,1,0,0,3,0
Loughborough,2,2,2,6,0,11,4,1,9,2,1,2,0,0,0,3,0,0,0
Nottingham,29,16,21,18,0,132,28,28,49,13,5,8,15,7,1,2,1,0,0
Brighton,29,28,34,14,3,124,28,48,18,15,14,5,32,3,2,10,2,1,0
Cambridge,75,14,36,20,0,54,19,22,13,6,5,8,6,0,2,2,4,0,0
Canterbury,35,10,15,17,0,66,13,51,9,2,5,3,8,0,0,4,0,1,0
Dover,14,6,5,10,0,41,5,2,3,0,2,1,3,0,3,2,0,0,0
Norwich,39,22,23,31,1,76,26,28,22,11,11,2,9,0,1,1,4,0,0
London,550,294,549,136,3,1265,148,601,262,312,49,134,234,17,90,105,31,6,4
Oxford,73,16,46,19,0,59,20,31,19,7,5,9,6,0,5,2,5,0,0
Leicester,30,15,2,13,1,78,7,12,23,10,1,6,6,4,1,9,4,0,0
Exeter,22,6,15,8,3,45,15,13,18,8,3,8,6,1,0,5,2,0,0
Bath,31,29,41,18,0,48,23,62,6,11,7,10,8,1,3,5,1,0,0
Newquay,6,3,45,13,5,18,58,5,5,1,38,1,2,0,0,3,1,2,0
Torquay,13,6,7,10,2,31,14,8,13,3,4,1,4,1,1,0,0,1,0
Bristol,52,24,42,25,1,155,55,36,39,23,7,16,10,0,2,12,5,4,1
Salford,7,4,5,3,0,11,3,5,10,2,2,0,2,2,0,0,1,0,0
falmouth,5,4,22,13,0,21,30,9,7,4,21,2,2,0,2,5,1,1,0
Plymouth,46,22,18,35,4,126,31,44,20,11,10,2,7,2,6,2,6,1,0
Penzance,20,9,9,12,0,11,13,12,5,3,3,1,1,1,0,1,1,0,0
Pitlochry,4,3,4,9,0,2,5,8,3,2,0,3,1,0,0,0,1,0,0
Lochalsh,1,0,4,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0
Dornoch,1,1,0,1,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0
Blackpool,7,5,5,8,11,91,6,11,38,19,0,5,4,5,2,3,2,2,0
Keswick,10,9,13,13,1,4,24,14,7,1,7,1,1,0,0,4,1,0,0
Manchester,46,29,26,12,0,196,20,44,33,20,2,13,29,3,3,6,6,0,1
Liverpool,55,20,64,20,3,174,25,37,44,22,6,5,25,5,4,3,4,0,1
Chester,14,7,13,14,0,40,13,17,13,5,2,3,12,2,0,2,2,1,0
Windermere,4,0,9,5,1,2,10,2,4,0,3,0,0,0,0,1,1,0,0
Penrith,13,1,11,12,0,13,20,5,9,2,7,3,2,0,0,4,1,0,0
Southport,5,2,1,5,6,25,7,4,6,3,0,4,5,1,0,0,1,0,0
Morecambe,4,0,0,2,0,6,1,5,5,3,0,0,0,0,0,1,0,0,0
Grasmere,5,2,3,5,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0
Cardiff,36,22,39,20,2,76,27,34,27,11,10,10,19,0,4,4,5,0,0
Swansea,22,13,17,26,2,52,27,14,14,9,7,3,1,1,0,2,4,0,0
