Destination,Sights & Landmarks,Museums,Tours & Activities,Nature & Parks,Amusement Parks,Nightlife,Outdoor Activities,Shopping,Fun & Games,Theatre & Concerts,Boat Tours & Water Sports,Food & Drink,Spas & Wellness,Casinos & Gambling,Transportation,Classes & Workshops,Traveller Resources,Zoos & Aquariums,Events
Bath,13,3,7,12,19,21,14,2,30,10,8,4,13,12,6,8,20,14,5
Blackpool,28,27,27,30,1,10,31,23,5,5,33,15,21,3,9,16,14,4,5
Brighton,16,5,10,15,6,9,6,4,14,6,4,15,2,7,9,3,14,6,5
Bristol,6,6,6,5,14,5,3,11,4,2,8,2,11,22,9,2,5,2,2
Cambridge,3,17,9,6,19,17,19,16,18,18,14,7,16,22,9,20,8,14,5
Canterbury,12,20,18,14,19,14,23,3,25,28,14,19,13,22,22,11,34,6,5
Cardiff,11,7,8,6,10,12,8,12,9,10,6,4,6,22,4,11,5,14,5
Chester,21,23,20,15,19,24,23,17,18,20,22,19,10,9,22,20,14,6,5
Derby,21,19,27,36,19,15,26,35,23,23,33,12,29,22,22,20,14,14,5
Dornoch,39,36,40,39,19,38,36,32,38,33,33,36,34,22,22,33,34,14,5
Dover,21,24,27,25,19,23,32,36,36,37,22,30,24,22,6,20,34,14,5
Exeter,18,24,18,30,6,22,20,20,14,16,19,7,16,12,22,8,14,14,5
falmouth,31,28,13,18,19,27,5,24,28,22,3,26,25,22,9,8,20,6,5
Grasmere,31,32,33,33,19,40,38,32,38,37,33,30,34,22,22,33,20,14,5
Hull,26,14,33,28,19,19,32,24,18,18,33,19,21,12,15,20,20,6,5
John O'Groats,39,38,36,41,19,40,38,41,38,37,29,36,34,22,22,33,34,14,5
Keswick,26,21,20,18,14,35,13,18,28,33,8,30,29,22,22,11,20,14,5
Leeds,7,14,22,6,19,4,11,9,8,7,22,12,5,12,22,5,14,14,5
Leicester,14,14,36,18,14,11,29,21,10,14,29,14,16,5,15,4,8,14,5
Liverpool,5,11,2,6,6,3,11,10,3,3,13,15,4,3,4,16,8,14,2
Lochalsh,39,38,31,39,19,38,38,36,38,37,33,36,34,22,22,33,20,14,5
London,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Loughborough,38,32,36,32,19,31,35,39,25,28,29,26,34,22,22,16,34,14,5
Manchester,8,3,11,22,19,2,16,6,6,4,22,3,3,7,6,5,3,14,2
Morecambe,35,38,40,38,19,34,38,28,32,23,33,36,34,22,22,29,34,14,5
Newcastle,14,7,15,15,19,6,20,8,7,7,22,7,9,5,15,11,2,6,5
Newquay,30,30,5,18,4,28,2,28,32,33,2,30,25,22,22,16,20,4,5
Norwich,10,7,12,3,14,12,10,14,11,10,5,26,12,22,15,29,8,14,5
Nottingham,16,12,14,12,19,7,6,14,2,7,14,7,8,2,15,20,20,14,5
Oxford,4,12,4,10,19,15,16,13,13,17,14,6,16,22,3,20,5,14,5
Penrith,24,36,22,22,19,29,16,28,25,28,8,19,25,22,22,11,20,14,5
Penzance,20,21,24,22,19,31,23,21,32,23,19,30,29,12,22,29,20,14,5
Pitlochry,35,30,31,28,19,36,32,26,36,28,33,19,29,22,22,33,20,14,5
Plymouth,8,7,16,2,5,8,4,6,12,10,6,26,15,9,2,20,3,6,5
Salford,28,28,27,37,19,31,36,28,24,28,22,36,25,9,22,33,20,14,5
Skegness,31,32,33,25,10,30,28,39,18,33,29,19,34,12,15,33,34,3,5
Southport,31,32,39,33,2,26,29,32,30,23,33,18,20,12,22,33,20,14,5
Swansea,18,18,17,4,10,18,8,18,16,15,8,19,29,12,22,20,8,14,5
Torquay,24,24,26,25,10,25,22,26,18,23,18,30,21,12,15,33,34,6,5
Windermere,35,38,24,33,14,36,27,36,35,37,19,36,34,22,22,29,20,14,5
York,2,2,3,10,2,19,15,5,16,20,22,7,7,12,9,5,8,14,5
