City,Hotel,Price,Star Rating,Review
York,Ascot House Hotel York (England),115.31,4,92.0
York,Georgian House,64.69,3,80.0
York,Park Inn by Radisson York City Centre,108.54,3,82.0
York,Holgate Bridge York,64.26,3,82.0
York,Marriott York,131.13,4,80.0
York,Novotel York Centre,120.43,3,81.0
York,Best Western Kilima Hotel,87.28,3,82.0
York,53,99.68,3,81.0
York,Best Western York Pavilion Hotel,80.0,3,82.0
York,The Farthings Guest House,70.06,4,90.0
Newcastle,Hilton Newcastle Gateshead,98.07,4,83.0
Newcastle,Royal Station,97.48,3,80.0
Newcastle,Malmaison Newcastle,110.42,4,83.0
Newcastle,Jurys Inn Newcastle Gateshead Quays,71.5,3,84.0
Newcastle,Copthorne Hotel Newcastle,100.27,4,80.0
Newcastle,Novotel Newcastle Airport,71.2,3,81.0
Newcastle,Holiday Inn Express Newcastle City Centre,96.99,3,85.0
Newcastle,The Vermont Newcastle,122.32,4,86.0
Newcastle,Indigo Newcastle,122.36,4,90.0
Newcastle,Staybridge Suites Newcastle,128.48,4,93.0
Leeds,Radisson Blu Leeds,111.99,4,82.0
Leeds,Leeds Marriott Hotel,113.99,4,86.0
Leeds,Hilton Leeds City,119.58,4,80.0
Leeds,The Queens,126.84,4,86.0
Leeds,Jurys Inn Leeds,89.77,4,85.0
Leeds,Clayton Hotel Leeds,86.61,3,82.0
Leeds,Novotel Leeds Centre,104.58,3,86.0
Leeds,Quebecs,126.17,4,88.0
Leeds,Malmaison Leeds,120.79,4,85.0
Leeds,Roomzzz - Leeds City,104.75,3,91.0
Hull,Holiday Inn Express Hull City Centre,50.95,3,84.0
Hull,Holiday Inn Hull Marina,76.71,3,86.0
Hull,Gilson,36.71,3,72.0
Hull,Campanile Hull,40.86,2,76.0
Hull,Mercure Royal,56.88,3,78.0
Hull,Kingston Theatre Hotel,59.62,3,88.0
Hull,Ibis Hull,46.75,3,79.0
Hull,Trinity Hotel,35.84,3,63.0
Hull,De Vere Village Urban Resort Hull,55.76,3,85.0
Hull,Acorn Guest House,55.59,4,87.0
Derby,Holiday Inn Derby - Riverlights,59.31,4,84.0
Derby,Jurys Inn Derby,59.04,3,86.0
Derby,Hallmark Inn Derby,43.13,3,79.0
Derby,pentahotel Derby,66.27,3,81.0
Derby,Stuart,46.54,4,70.0
Derby,Days Derby,37.53,3,75.0
Derby,Aston Court,44.11,3,79.0
Derby,Menzies Mickleover Court,69.33,4,84.0
Derby,International,44.87,3,69.0
Derby,Cathedral Quarter,79.52,4,77.0
Skegness,Best Western North Shore Hotel & Golf Club,63.45,3,60.0
Skegness,Eastleigh Hotel,41.08,3,60.0
Skegness,Best Western Vine Hotel,73.04,3,60.0
Skegness,The Crown,73.6,3,60.0
Skegness,The Lyndsay Guest House,60.45,4,80.0
Skegness,Southview Park Hotel,55.97,3,60.0
Skegness,Stepping Stones,53.19,3,60.0
Skegness,The Clarendon Lodge,59.18,3,60.0
Skegness,Clarence House Hotel,55.87,4,80.0
Skegness,Bell Hotel,55.72,3,60.0
Loughborough,Charnwood Lodge,60.4,4,85.0
Loughborough,The Cedars,49.41,3,75.0
Loughborough,Ramada Loughborough Hotel,55.04,3,69.0
Loughborough,The Hunting Lodge,62.59,4,81.0
Loughborough,Garendon Park,55.39,3,84.0
Loughborough,Best Western Premier Yew Lodge Hotel & Conference Centre,76.79,3,82.0
Loughborough,"Kegworth Hotel & Conference Centre, East Midlands Airport, M1, Junc 24",52.25,3,77.0
Loughborough,The Rothley Court,75.3,3,83.0
Loughborough,Kegworth House Hotel - Guest House,70.22,3,93.0
Loughborough,Premier Inn Loughborough,64.42,3,86.0
Nottingham,Mercure Nottingham City Centre Hotel,64.95,4,83.0
Nottingham,Crowne Plaza Nottingham,74.05,4,80.0
Nottingham,Ibis Nottingham Centre,63.04,4,81.0
Nottingham,Jurys Inn Nottingham,61.11,3,80.0
Nottingham,Hilton Nottingham,78.34,4,74.0
Nottingham,Britannia Nottingham,57.41,3,63.0
Nottingham,Holiday Inn Nottingham,63.68,3,82.0
Nottingham,Park Inn by Radisson Nottingham,68.45,3,72.0
Nottingham,Park Plaza Nottingham,76.55,4,78.0
Nottingham,St James Hotel,67.09,4,85.0
Brighton,Thistle Brighton,132.17,4,82.0
Brighton,Myhotel Brighton,105.83,4,84.0
Brighton,Hudsons,63.13,4,82.0
Brighton,Ibis Brighton City Centre,102.16,3,84.0
Brighton,Umi Brighton,102.73,3,77.0
Brighton,Preston Park,79.05,3,65.0
Brighton,Britannia Royal Albion,87.96,3,62.0
Brighton,Old Ship,87.06,4,76.0
Brighton,Hotel du Vin Brighton,168.13,4,84.0
Brighton,Hilton Brighton Metropole,147.0,4,73.0
Cambridge,Holiday Inn Cambridge,84.17,3,80.0
Cambridge,Holiday Inn Express Cambridge,73.38,3,80.0
Cambridge,Rectory Farm,65.03,3,86.0
Cambridge,DoubleTree by Hilton Cambridge,153.45,4,79.0
Cambridge,Cambridge City Hotel,198.13,4,87.0
Cambridge,Best Western Plus Gonville Hotel,147.65,3,84.0
Cambridge,Brooklands Guest House,71.66,3,66.0
Cambridge,Felix,154.67,4,83.0
Cambridge,Hotel du Vin Cambridge,209.65,4,82.0
Cambridge,Aylesbray Lodge,70.41,4,64.0
Canterbury,Best Western Abbots Barton,137.98,3,60.0
Canterbury,The Victoria Hotel,103.15,3,60.0
Canterbury,Howfield Manor Hotel,78.27,3,60.0
Canterbury,Holiday Inn Express Canterbury,69.67,3,60.0
Canterbury,The Evenhill,67.76,4,80.0
Canterbury,ABode Canterbury,131.49,4,80.0
Canterbury,The Pilgrims Rest,75.88,4,80.0
Canterbury,The Duke of Cumberland,80.79,4,80.0
Canterbury,Homelea Bed and Breakfast,95.15,5,100.0
Canterbury,The Coach House,114.94,3,60.0
Dover,Ramada Dover,75.89,4,81.0
Dover,Best Western Plus Dover Marina Hotel & Spa,64.31,4,75.0
Dover,Hubert House,85.51,4,86.0
Dover,The West Bank Guest House,49.35,4,78.0
Dover,Loddington House Hotel,67.94,3,76.0
Dover,The White Cliffs,89.47,3,80.0
Dover,Clare House,40.5,3,71.0
Dover,Premier Inn Dover Central (Ferry Terminal),67.81,3,89.0
Dover,Premier Inn Dover (A20),64.94,3,83.0
Dover,Premier Inn Dover East,70.81,3,83.0
Norwich,Maids Head,86.58,4,83.0
Norwich,Mercure Norwich,65.8,3,67.0
Norwich,Stracey Hotel,74.68,3,83.0
Norwich,Lansdowne Hotel and conference Centre Limited,30.88,3,65.0
Norwich,Abbey Guest House,66.48,3,89.0
Norwich,Best Western Annesley House Hotel,86.08,3,85.0
Norwich,Holiday Inn Norwich North,79.54,3,72.0
Norwich,Marriott Sprowston Manor Hotel & Country Club,121.0,3,87.0
Norwich,The Brook,63.29,3,74.0
Norwich,Catton Old Hall,99.54,4,90.0
London,Best Western Victoria Palace,114.77,3,77.0
London,Club Quarters Trafalgar Square,99.03,4,83.0
London,Beauchamp,94.8,4,83.0
London,Grange St Paul's,112.55,5,87.0
London,Novotel London Blackfriars,147.04,4,87.0
London,Dolphin House,117.44,4,82.0
London,Strand Palace Hotel,146.06,4,81.0
London,Club Quarters Lincoln's Inn Fields,120.03,4,87.0
London,The Grand at Trafalgar Square,141.74,4,82.0
London,Kingsway Hall,146.99,4,84.0
Oxford,Oxford Thames Four Pillars,124.43,4,86.0
Oxford,Randolph,182.62,5,80.0
Oxford,Holiday Inn Oxford,96.8,4,81.0
Oxford,Jurys Inn Oxford,64.58,4,72.0
Oxford,Cotswold Lodge,120.94,4,80.0
Oxford,Hawkwell House,104.94,3,83.0
Oxford,Oxford Spires Four Pillars,138.56,4,79.0
Oxford,Malmaison Oxford,212.82,4,83.0
Oxford,Old Parsonage,270.08,4,91.0
Oxford,Westwood Country,85.81,3,80.0
Leicester,Holiday Inn Leicester,94.4,3,81.0
