,City,Hotel,Price,Star Rating,Review
0,York, Ascot House Hotel York (England),115.31,4,92.0
1,York, Georgian House,64.69,3,80.0
2,York, Park Inn by Radisson York City Centre,108.54,3,82.0
3,York, Holgate Bridge York,64.26,3,82.0
4,York, Marriott York,131.13,4,80.0
5,York, Novotel York Centre,120.43,3,81.0
6,York, Best Western Kilima Hotel,87.28,3,82.0
7,York, 53,99.68,3,81.0
8,York, Best Western York Pavilion Hotel,80.0,3,82.0
9,York, The Farthings Guest House,70.06,4,90.0
10,Newcastle, Hilton Newcastle Gateshead,98.07,4,83.0
11,Newcastle, Royal Station,97.48,3,80.0
12,Newcastle, Malmaison Newcastle,110.42,4,83.0
13,Newcastle, Jurys Inn Newcastle Gateshead Quays,71.5,3,84.0
14,Newcastle, Copthorne Hotel Newcastle,100.27,4,80.0
15,Newcastle, Novotel Newcastle Airport,71.2,3,81.0
16,Newcastle, Holiday Inn Express Newcastle City Centre,96.99,3,85.0
17,Newcastle, The Vermont Newcastle,122.32,4,86.0
18,Newcastle, Indigo Newcastle,122.36,4,90.0
19,Newcastle, Staybridge Suites Newcastle,128.48,4,93.0
20,Leeds, Radisson Blu Leeds,111.99,4,82.0
21,Leeds, Leeds Marriott Hotel,113.99,4,86.0
22,Leeds, Hilton Leeds City,119.58,4,80.0
23,Leeds, The Queens,126.84,4,86.0
24,Leeds, Jurys Inn Leeds,89.77,4,85.0
25,Leeds, Clayton Hotel Leeds,86.61,3,82.0
26,Leeds, Novotel Leeds Centre,104.58,3,86.0
27,Leeds, Quebecs,126.17,4,88.0
28,Leeds, Malmaison Leeds,120.79,4,85.0
29,Leeds, Roomzzz - Leeds City,104.75,3,91.0
30,Hull, Holiday Inn Express Hull City Centre,50.95,3,84.0
31,Hull, Holiday Inn Hull Marina,76.71,3,86.0
32,Hull, Gilson,36.71,3,72.0
33,Hull, Campanile Hull,40.86,2,76.0
34,Hull, Mercure Royal,56.88,3,78.0
35,Hull, Kingston Theatre Hotel,59.62,3,88.0
36,Hull, Ibis Hull,46.75,3,79.0
37,Hull, Trinity Hotel,35.84,3,63.0
38,Hull, De Vere Village Urban Resort Hull,55.76,3,85.0
39,Hull, Acorn Guest House,55.59,4,87.0
40,Derby, Holiday Inn Derby - Riverlights,59.31,4,84.0
41,Derby, Jurys Inn Derby,59.04,3,86.0
42,Derby, Hallmark Inn Derby,43.13,3,79.0
43,Derby, pentahotel Derby,66.27,3,81.0
44,Derby, Stuart,46.54,4,70.0
45,Derby, Days Derby,37.53,3,75.0
46,Derby, Aston Court,44.11,3,79.0
47,Derby, Menzies Mickleover Court,69.33,4,84.0
48,Derby, International,44.87,3,69.0
49,Derby, Cathedral Quarter,79.52,4,77.0
50,Skegness, Best Western North Shore Hotel & Golf Club,63.45,3,0.0
51,Skegness, Eastleigh Hotel,41.08,3,0.0
52,Skegness, Best Western Vine Hotel,73.04,3,0.0
53,Skegness, The Crown,73.6,3,0.0
54,Skegness, The Lyndsay Guest House,60.45,4,0.0
55,Skegness, Southview Park Hotel,55.97,3,0.0
56,Skegness, Stepping Stones,53.19,3,0.0
57,Skegness, The Clarendon Lodge,59.18,3,0.0
58,Skegness, Clarence House Hotel,55.87,4,0.0
59,Skegness, Bell Hotel,55.72,3,0.0
60,Loughborough, Charnwood Lodge,60.4,4,85.0
61,Loughborough, The Cedars,49.41,3,75.0
62,Loughborough, Ramada Loughborough Hotel,55.04,3,69.0
63,Loughborough, The Hunting Lodge,62.59,4,81.0
64,Loughborough, Garendon Park,55.39,3,84.0
65,Loughborough, Best Western Premier Yew Lodge Hotel & Conference Centre,76.79,3,82.0
66,Loughborough," Kegworth Hotel & Conference Centre, East Midlands Airport, M1, Junc 24",52.25,3,77.0
67,Loughborough, The Rothley Court,75.3,3,83.0
68,Loughborough, Kegworth House Hotel - Guest House,70.22,3,93.0
69,Loughborough, Premier Inn Loughborough,64.42,3,86.0
70,Nottingham, Mercure Nottingham City Centre Hotel,64.95,4,83.0
71,Nottingham, Crowne Plaza Nottingham,74.05,4,80.0
72,Nottingham, Ibis Nottingham Centre,63.04,4,81.0
73,Nottingham, Jurys Inn Nottingham,61.11,3,80.0
74,Nottingham, Hilton Nottingham,78.34,4,74.0
75,Nottingham, Britannia Nottingham,57.41,3,63.0
76,Nottingham, Holiday Inn Nottingham,63.68,3,82.0
77,Nottingham, Park Inn by Radisson Nottingham,68.45,3,72.0
78,Nottingham, Park Plaza Nottingham,76.55,4,78.0
79,Nottingham, St James Hotel,67.09,4,85.0
80,Brighton, Thistle Brighton,132.17,4,82.0
81,Brighton, Myhotel Brighton,105.83,4,84.0
82,Brighton, Hudsons,63.13,4,82.0
83,Brighton, Ibis Brighton City Centre,102.16,3,84.0
84,Brighton, Umi Brighton,102.73,3,77.0
85,Brighton, Preston Park,79.05,3,65.0
86,Brighton, Britannia Royal Albion,87.96,3,62.0
87,Brighton, Old Ship,87.06,4,76.0
88,Brighton, Hotel du Vin Brighton,168.13,4,84.0
89,Brighton, Hilton Brighton Metropole,147.0,4,73.0
90,Cambridge, Holiday Inn Cambridge,84.17,3,80.0
91,Cambridge, Holiday Inn Express Cambridge,73.38,3,80.0
92,Cambridge, Rectory Farm,65.03,3,86.0
93,Cambridge, DoubleTree by Hilton Cambridge,153.45,4,79.0
94,Cambridge, Cambridge City Hotel,198.13,4,87.0
95,Cambridge, Best Western Plus Gonville Hotel,147.65,3,84.0
96,Cambridge, Brooklands Guest House,71.66,3,66.0
97,Cambridge, Felix,154.67,4,83.0
98,Cambridge, Hotel du Vin Cambridge,209.65,4,82.0
99,Cambridge, Aylesbray Lodge,70.41,4,64.0
100,Canterbury, Best Western Abbots Barton,137.98,3,0.0
101,Canterbury, The Victoria Hotel,103.15,3,0.0
102,Canterbury, Howfield Manor Hotel,78.27,3,0.0
103,Canterbury, Holiday Inn Express Canterbury,69.67,3,0.0
104,Canterbury, The Evenhill,67.76,4,0.0
105,Canterbury, ABode Canterbury,131.49,4,0.0
106,Canterbury, The Pilgrims Rest,75.88,4,0.0
107,Canterbury, The Duke of Cumberland,80.79,4,0.0
108,Canterbury, Homelea Bed and Breakfast,95.15,5,0.0
109,Canterbury, The Coach House,114.94,3,0.0
110,Dover, Ramada Dover,75.89,4,81.0
111,Dover, Best Western Plus Dover Marina Hotel & Spa,64.31,4,75.0
112,Dover, Hubert House,85.51,4,86.0
113,Dover, The West Bank Guest House,49.35,4,78.0
114,Dover, Loddington House Hotel,67.94,3,76.0
115,Dover, The White Cliffs,89.47,3,80.0
116,Dover, Clare House,40.5,3,71.0
117,Dover, Premier Inn Dover Central (Ferry Terminal),67.81,3,89.0
118,Dover, Premier Inn Dover (A20),64.94,3,83.0
119,Dover, Premier Inn Dover East,70.81,3,83.0
120,Norwich, Maids Head,86.58,4,83.0
121,Norwich, Mercure Norwich,65.8,3,67.0
122,Norwich, Stracey Hotel,74.68,3,83.0
123,Norwich, Lansdowne Hotel and conference Centre Limited,30.88,3,65.0
124,Norwich, Abbey Guest House,66.48,3,89.0
125,Norwich, Best Western Annesley House Hotel,86.08,3,85.0
126,Norwich, Holiday Inn Norwich North,79.54,3,72.0
127,Norwich, Marriott Sprowston Manor Hotel & Country Club,121.0,3,87.0
128,Norwich, The Brook,63.29,3,74.0
129,Norwich, Catton Old Hall,99.54,4,90.0
130,London, Best Western Victoria Palace,114.77,3,77.0
131,London, Club Quarters Trafalgar Square,99.03,4,83.0
132,London, Beauchamp,94.8,4,83.0
133,London, Grange St Paul's,112.55,5,87.0
134,London, Novotel London Blackfriars,147.04,4,87.0
135,London, Dolphin House,117.44,4,82.0
136,London, Strand Palace Hotel,146.06,4,81.0
137,London, Club Quarters Lincoln's Inn Fields,120.03,4,87.0
138,London, The Grand at Trafalgar Square,141.74,4,82.0
139,London, Kingsway Hall,146.99,4,84.0
140,Oxford, Oxford Thames Four Pillars,124.43,4,86.0
141,Oxford, Randolph,182.62,5,80.0
142,Oxford, Holiday Inn Oxford,96.8,4,81.0
143,Oxford, Jurys Inn Oxford,64.58,4,72.0
144,Oxford, Cotswold Lodge,120.94,4,80.0
145,Oxford, Hawkwell House,104.94,3,83.0
146,Oxford, Oxford Spires Four Pillars,138.56,4,79.0
147,Oxford, Malmaison Oxford,212.82,4,83.0
148,Oxford, Old Parsonage,270.08,4,91.0
149,Oxford, Westwood Country,85.81,3,80.0
150,Leicester, Holiday Inn Leicester,94.4,3,81.0
151,Leicester, Ibis Leicester City,60.64,3,79.0
152,Leicester, Ramada Leicester Stage,54.57,3,66.0
153,Leicester, Holiday Inn Express Leicester - Walkers Stadium,76.8,3,77.0
154,Leicester, Campanile Hotel Leicester,57.7,2,72.0
155,Leicester, Hilton Leicester,74.05,4,76.0
156,Leicester, Marriott Leicester,83.3,3,85.0
157,Leicester, College Court Conference Centre,89.66,4,87.0
158,Leicester, Days Inn Leicester Forest East M1,47.39,3,76.0
159,Leicester, The Rothley Court,75.69,3,83.0
160,Exeter, ABode Exeter,111.55,4,80.0
161,Exeter, Jurys Inn Exeter,61.65,3,82.0
162,Exeter, The Magdalen Chapter,118.62,4,87.0
163,Exeter, Mercure Southgate,149.59,4,84.0
164,Exeter, The Rougemont,99.74,4,83.0
165,Exeter," Holiday Inn Express Exeter M5, Jct 29",79.3,3,85.0
166,Exeter, Queens Court Hotel,77.07,3,80.0
167,Exeter, Telstar Guest House Exeter,60.33,4,83.0
168,Exeter, Buckerell Lodge,64.6,4,80.0
169,Exeter, Culm Vale Country House,67.93,4,83.0
170,Bath, Parade Park,149.02,2,74.0
171,Bath, The Royal Crescent Hotel & Spa,294.26,5,93.0
172,Bath, Macdonald Bath Spa,224.83,5,85.0
173,Bath, Tasburgh House,180.22,5,92.0
174,Bath, High Beeches B & B,85.73,4,88.0
175,Bath, Francis Hotel Bath - MGallery Collection,249.76,4,88.0
176,Bath, Homewood Park,185.61,4,81.0
177,Bath, The Edgar Townhouse,169.87,3,85.0
178,Bath, The Bath Priory,552.38,5,92.0
179,Bath, The Ayrlington,275.53,5,87.0
180,Newquay, Victoria,45.34,3,80.0
181,Newquay, Best Western Bristol,67.27,3,82.0
182,Newquay, Glendorgal,52.9,3,78.0
183,Newquay, Invernook Hotel,50.16,3,93.0
184,Newquay, Pine Lodge,59.74,4,82.0
185,Newquay, Trevellis Guest House,65.08,3,91.0
186,Newquay, Great Western,65.21,3,82.0
187,Newquay, The Silver Jubilee,65.1,3,85.0
188,Newquay, Carnmarth Hotel,90.93,4,82.0
189,Newquay, Trevilla,50.7,4,86.0
190,Torquay, The Imperial,62.84,4,81.0
191,Torquay, Bahamas Hotel,44.3,4,85.0
192,Torquay, Trelawney,48.23,4,89.0
193,Torquay, The Grand,180.76,4,80.0
194,Torquay, Cranborne Guest Accommodation,55.4,4,88.0
195,Torquay, Robin Hill,62.61,4,90.0
196,Torquay, Iona,58.86,4,82.0
197,Torquay, Ashurst Lodge,55.98,3,82.0
198,Torquay, Crimdon Dene,68.41,4,97.0
199,Torquay, Ferndale - Lodge,57.86,4,90.0
200,Bristol, Mercure Bristol Grand Hotel,89.04,4,82.0
201,Bristol, Mercure Holland House Bristol,96.69,4,80.0
202,Bristol, DoubleTree by Hilton Hotel Bristol City Centre,98.0,4,86.0
203,Bristol, Marriott Bristol City Centre,93.42,4,87.0
204,Bristol, Novotel Bristol Centre,88.67,4,83.0
205,Bristol, Mercure Brigstow Bristol,105.86,4,85.0
206,Bristol, Holiday Inn Bristol City Centre,89.21,4,84.0
207,Bristol, Radisson Blu Hotel Bristol,103.97,4,86.0
208,Bristol, Future Inn Bristol,82.65,4,84.0
209,Bristol, Marriott Royal Bristol,113.1,4,86.0
210,Salford, Radisson Blu Edwardian Manchester Hotel,201.67,5,87.0
211,Salford, Ramada Manchester Salford Quays,77.75,4,81.0
212,Salford, Ascott,66.58,4,81.0
213,Salford, Holiday Inn Manchester - Mediacityuk,109.63,4,87.0
214,Salford, Renaissance Manchester,139.06,4,88.0
215,Salford, Marriott Victoria & Albert,139.16,4,84.0
216,Salford, DoubleTree by Hilton Hotel Manchester - Piccadilly,138.68,4,87.0
217,Salford, Crowne Plaza City Centre,131.93,4,90.0
218,Salford, The Light Hotel,116.25,4,81.0
219,Salford, The Portland Hotel,92.05,3,81.0
220,falmouth, The Oasis Guest House,55.61,3,86.0
221,falmouth, Best Western Penmere Manor,85.29,3,83.0
222,falmouth, St Michaels Hotel & Spa,110.65,4,85.0
223,falmouth, Hawthorne Dene,80.42,3,82.0
224,falmouth, Lyonesse Guest House,85.18,3,96.0
225,falmouth, Falmouth Beach Hotel,74.68,3,78.0
226,falmouth, The Royal Duchy,108.48,4,90.0
227,falmouth, The Grove Hotel - Guest House,84.94,3,89.0
228,falmouth, Lugo Rock,65.46,4,88.0
229,falmouth, The Falmouth,99.84,3,81.0
230,Plymouth, Jurys Inn Plymouth,58.56,3,81.0
231,Plymouth, Caledonia Guest House,48.98,3,90.0
232,Plymouth, Future Inn Plymouth,49.47,3,86.0
